"If it isn’t one thing it’s the other," said the girl with a nosebleed.<|>anon
"Sour," said the fox about the rowanberries.<|>anon
'tis in vain to kick after you have once put on fetters.<|>anon
An ill won penny will cast down a pound.<|>anon
A bad beginning makes a bad ending.<|>anon
A bad beginning makes a good ending.<|>anon
A bad bush is better than no shelter.<|>anon
A bad compromise is better than a good lawsuit.<|>anon
A bad corn promise is better than a good lawsuit.<|>anon
A bad craftsman blames his tools.<|>anon
A bad excuse is better than none at all.<|>anon
A bad husband cannot be a good man.<|>anon
A bad name as a reward.<|>anon
A bad rower blames the oar.<|>anon
A bad thing never dies.<|>anon
A bad workman always blames his tools.<|>anon
A bad workman blames his tools.<|>anon
A bad workman quarrels with his tools.<|>anon
A baited cat may grow as fierce as a lion.<|>anon
A bald-headed man finds a comb.<|>anon
A bargain is a bargain.<|>anon
A barking dog does not bite.<|>anon
A bat in a village without birds.<|>anon
A bath whisk rears children, the wind chickens.<|>anon
A beard does not grow on the bad, chin whiskers on the idle.<|>anon
A beggar can never be bankrupt.<|>anon
A beloved child has many names.<|>anon
A benevolent God might make a master out of a slave, a merchant out of a hired man.<|>anon
A bigger fish devours a smaller one.<|>anon
A bird in the hand is better than ten in the forest.<|>anon
A bird in the hand is better than ten on a tree.<|>anon
A bird in the hand is worth two in the bush.<|>anon
A bird is known by its feathers.<|>anon
A bird is known by its flight.<|>anon
A bird is named after its song, a man after his habits.<|>anon
A bird may be known by its song.<|>anon
A bird that sings early in the morning is in a hawk's ass in the evening.<|>anon
A bird-sized nest, an egg-sized hole.<|>anon
A bitter turnip does not go bad first.<|>anon
A black hen lays a white egg.<|>anon
A black hen may bring forth white eggs.<|>anon
A black miller and a white smith are an abomination in God's view.<|>anon
A bleating sheep eats no grass.<|>anon
A blind hen shall find corn.<|>anon
A blind leader of the blind.<|>anon
A blind man may perchance hit the mark.<|>anon
A blind man shoots sometimes a crow.<|>anon
A blind man should not judge of colours.<|>anon
A blind man would be glad to see.<|>anon
A bog pine takes after its kind.<|>anon
A book does not lie.<|>anon
A bridal veil brings half a worry, a wife's headdress a steady flow.<|>anon
A broken friendship may be soldered, but will never be sound.<|>anon
A burden of one's own choice is not felt.<|>anon
A burnt child dreads fire.<|>anon
A burnt child dreads the fire.<|>anon
A burnt child keeps away from fire.<|>anon
